POSSESSION	APPARTENANCE	MARQUE	TYPE	ANCIENNETE	PUISSANCE	CARBURANT	OPTIONS	NOTE	ENTRETIEN	KILOMETRAGE	DEPENSE	CRITERE1	CRITERE2	CRITERE3	CRITERE4	CRITERE5	SEXE	CSP
Oui	vous	Citroen	Neuve	9	4-5_CV	Gasoil	Autres	11.00	3	1500	1000	cout_entretien	consommation	pollution	esthetique	confort	Homme	Ouvrier
Oui	vous	Fiat	Occasion	4	4-5_CV	Gasoil	Airbags	12.00	1	1500	750	esthetique	cout_entretien	vitesse	consommation	securite	Homme	Ouvrier
Oui	vous	Autre	Occasion	6	4-5_CV	Gasoil		12.00	5	2000	1250	cout_entretien	consommation	esthetique	confort	vitesse	Homme	Ouvrier
Oui	vous	Renault	Neuve		6-7_CV	GPL	Climatisation	15.00	0	3000	2000	esthetique	pollution	cout_entretien	securite	confort	Homme	Ouvrier
Oui	vous	Ford	Occasion	4	6-7_CV	Gasoil	Airbags	13.00	5	2000	1500	esthetique	cout_entretien	vitesse	consommation	confort	Homme	Ouvrier
Oui	vous	Peugeot	Occasion	6	4-5_CV	Sans plomb	Lecteur CD	14.00	2	1500	1000	esthetique	cout_entretien	vitesse	consommation	confort	Homme	Ouvrier
Oui	vous	Citroen	Neuve	11	4-5_CV	Gasoil	Autres	9.00	0	1000	500	cout_entretien	consommation	confort	securite	esthetique	Femme	Ouvrier
Oui	vous	Fiat	Occasion	10	6-7_CV	Gasoil		7.00	1	1500	750	cout_entretien	consommation	confort	securite	esthetique	Femme	Chomeur
Oui	vous	Volkswagen	Occasion	8	4-5_CV	Gasoil	Autres	12.00	3	2000	1000	cout_entretien	consommation	confort	securite	esthetique	Femme	Chomeur
Oui	vous	Renault	Occasion		6-7_CV	Sans plomb	Autres	13.00	1	1500	1000	confort	cout_entretien	consommation	esthetique	La tenue de route	Homme	Chomeur
Oui	vous	Volvo	Neuve	10	4-5_CV	Gasoil	Autres	12.00	2	1000	500	confort	cout_entretien	consommation	esthetique	vitesse	Homme	Chomeur
Oui	vous	Opel	Occasion	7	4-5_CV	Essence	Autres	11.00	2	1200	900	cout_entretien	esthetique	consommation	vitesse	pollution	Homme	Chomeur
Oui	vous	Autre	Neuve	3	8-9_CV	Essence	Lecteur CD	17.00	3	2500	2000	esthetique	cout_entretien	vitesse	confort	espace	Homme	
Oui	vous	Renault	Neuve	1	6-7_CV	GPL	Climatisation	15.00	2	2000	750	pollution	esthetique	consommation	securite	confort	Femme	
Oui	vous	Peugeot	Neuve	5	6-7_CV	Gasoil	Climatisation	15.00	1	1000	500	confort	securite	cout_entretien	consommation	esthetique	Homme	Inactif
Oui	vous	Renault	Neuve	4	4-5_CV	GPL	Climatisation	14.00	1	1500	1000	confort	securite	esthetique	pollution	consommation	Femme	Inactif
Oui	vous	Ford	Occasion			Essence	Climatisation	13.00	1	1000	500	esthetique	securite	cout_entretien	consommation	confort	Homme	Inactif
Oui	vous	Citroen	Occasion		moins_de_4CV	Gasoil	Autres	12.00	1	500	200	securite	confort	esthetique	pollution	consommation	Homme	Inactif
Oui	vous	Volkswagen	Neuve	6	6-7_CV	Essence	Climatisation	17.00	3	2000	1000	securite	consommation	confort	cout_entretien	vitesse	Homme	Inactif
Oui	vous	Peugeot	Neuve	7	4-5_CV	Gasoil	Autres	10.00	1	1000	500	cout_entretien	consommation	esthetique	vitesse	pollution	Homme	Inactif
Oui	vous	Renault	Neuve	1	4-5_CV	GPL	Airbags	16.00	1	2000	1000	confort	securite	cout_entretien	consommation	pollution	Homme	Inactif
Oui	famille	Citroen	Neuve	2	6-7_CV	Gasoil	Climatisation	13.00	0	1500	750	confort	securite	cout_entretien	consommation	pollution	Femme	Inactif
Oui	vous	Volkswagen	Occasion	4	4-5_CV	Gasoil	Airbags	13.00	1	2000	1000	esthetique	confort	securite	vitesse	consommation	Femme	Inactif
Oui	famille	Renault	Neuve			Essence	Climatisation	14.00	0	500	0	confort	securite	esthetique	pollution	espace	Femme	Inactif
Oui	famille	BMW	Neuve	3	8-9_CV	Essence	Climatisation	15.00	0	1000	0	esthetique	confort	securite	vitesse	consommation	Femme	Autre
Oui	vous	Renault	Neuve	5	4-5_CV	GPL	Airbags	14.00	0	750	500	confort	securite	espace	pollution	esthetique	Femme	Inactif
Oui	vous	Opel	Occasion	4	moins_de_4CV	Gasoil	Airbags	13.00	0	500	500	confort	securite	cout_entretien	consommation	esthetique	Femme	Inactif
Oui	vous	Renault	Occasion	6	4-5_CV	Gasoil	Jantes alu	11.00	1	1000	400	cout_entretien	consommation	esthetique	vitesse	La tenue de route	Homme	Etudiant
Oui	vous	Peugeot	Occasion	5	6-7_CV	Essence	Jantes alu	14.00	5	1500	500	esthetique	vitesse	cout_entretien	consommation	La tenue de route	Homme	Etudiant
Oui	vous	Ford	Occasion	4	4-5_CV	Gasoil	Autres	12.00	0	1000	500	cout_entretien	consommation	esthetique	vitesse	La tenue de route	Homme	Etudiant
Oui	famille	Citroen	Occasion		4-5_CV	Essence	Autres	11.00	0	500	0	cout_entretien	vitesse	esthetique	consommation	confort	Homme	Etudiant
Oui	famille	Volkswagen	Neuve	1	6-7_CV	GPL	Airbags	15.00	1	1000	500	cout_entretien	consommation	esthetique	vitesse	pollution	Homme	Etudiant
Oui	famille	Renault	Neuve	1	6-7_CV	Gasoil	Lecteur CD	16.00	5	1000	500	cout_entretien	esthetique	consommation	vitesse	confort	Homme	Etudiant
Oui	famille	Opel	Occasion	4	4-5_CV	Gasoil	Autres	13.00	0	500	0	cout_entretien	esthetique	consommation	vitesse	La tenue de route	Homme	Etudiant
Oui	famille	Toyota	Occasion	5	6-7_CV	Essence	Climatisation	13.00	0	200	50	confort	securite	vitesse	cout_entretien	consommation	Femme	Etudiant
Oui	vous	Fiat	Occasion	9	4-5_CV	Gasoil	Autres	10.00	1	1000	300	cout_entretien	consommation	confort	securite	esthetique	Femme	Etudiant
Oui	vous	Renault	Occasion	5	4-5_CV	Gasoil	Airbags	14.00	2	1500	600	cout_entretien	confort	securite	consommation	esthetique	Femme	Etudiant
Oui	famille	Peugeot	Occasion	5	4-5_CV	Gasoil	Lecteur CD	13.00	0	1500	500	esthetique	confort	securite	cout_entretien	consommation	Femme	Etudiant
Oui	famille	Volkswagen	Neuve			GPL	Climatisation	15.00	0	500	0	esthetique	cout_entretien	consommation	confort	securite	Femme	Etudiant
Oui	famille	Citroen	Occasion			Sans plomb	Autres	13.00	0	1000	200	cout_entretien	consommation	esthetique	confort	securite	Femme	Etudiant
Oui	famille	Renault	Occasion	4	4-5_CV	Essence	Climatisation	14.00	0	700	200	confort	securite	cout_entretien	consommation	esthetique	Femme	Etudiant
Oui	vous	Citroen	Neuve	6		Gasoil	Airbags	13.00	1	1000	500	confort	securite	esthetique	cout_entretien	consommation	Femme	Autre
Oui	vous	Fiat	Occasion	10	moins_de_4CV	Essence		8.00	1	1500	1000	cout_entretien	consommation	esthetique	confort	vitesse	Femme	Autre
Oui	vous	Ford	Occasion	7	4-5_CV	Gasoil	Airbags	12.00	2	2000	1000	esthetique	cout_entretien	consommation	confort	securite	Femme	Autre
Oui	famille	Volkswagen	Neuve	0	4-5_CV	GPL	Airbags	16.00	2	1500	500	esthetique	pollution	confort	securite	consommation	Femme	Autre
Oui	vous	Renault	Occasion	7	4-5_CV	Gasoil	Autres	12.00	1	1500	700	confort	securite	esthetique	cout_entretien	consommation	Homme	Autre
